ParentRegion,Region,u_name,costPerWeek,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,safety,nature,hiking,beach,watersports,entertainment,wintersports,culture,culinary,architecture,shopping,popularity
,World,,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,
World,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,
World,North America,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Middle America and Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,
World,South America,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Canada,,725,,,,,,,,,,,,,+,,,,,,,,,,,
Canada,Canada North,CND_NO,725,--,--,--,--,o,+,++,++,+,o,--,--,,o,o,--,--,--,o,--,--,--,--,--
Canada,Canada British Columbia,CND_BC,725,--,--,--,-,o,+,++,++,+,o,--,--,,++,++,-,o,+,++,o,+,+,+,++
Canada,Canada Prairies,CND_PR,725,--,--,--,-,o,+,++,++,+,o,--,--,,++,++,-,-,--,++,-,-,-,-,-
Canada,Canada Ontario,CND_ON,725,--,--,-,o,+,++,++,++,++,+,-,--,,++,++,--,-,+,-,o,-,o,o,+
Canada,Canada Quebec,CND_QU,725,--,--,-,o,+,++,++,++,++,+,-,--,,+,+,--,-,+,+,+,-,+,+,+
Canada,Canada Atlantic Provinces,CND_AT,725,--,--,-,o,+,++,++,++,++,+,-,--,,++,o,-,+,o,o,o,+,-,o,+
North America,Greenland,GRL,975,--,--,-,o,+,++,++,++,++,+,-,--,++,+,+,--,o,--,o,-,--,--,--,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,USA,,600,,,,,,,,,,,,,+,,,,,,,,,,,
USA,USA Alaska,USA_AL,975,--,--,--,--,o,+,++,++,+,o,--,--,,++,+,--,-,-,o,-,o,--,--,o
USA,USA Pacific Northwest,USA_PN,600,-,-,-,o,+,++,++,++,++,+,o,-,,++,+,o,-,o,+,o,o,+,o,+
USA,USA California,USA_CA,600,o,o,+,++,++,+,+,+,++,++,+,o,o,+,+,++,+,++,-,+,o,++,++,++
USA,USA Southwest,USA_SW,600,o,o,+,++,++,+,o,o,++,++,+,o,,++,+,--,-,-,--,-,-,-,--,++
USA,USA Rocky Mountains,USA_RM,600,-,-,-,o,+,++,++,++,++,+,o,-,,+,++,--,--,-,++,-,-,-,--,+
USA,USA Great Plains,USA_GP,600,--,-,-,o,+,++,+,+,++,+,-,--,,o,--,--,--,--,--,-,-,--,--,o
USA,USA Texas,USA_TX,600,-,o,+,++,++,+,o,o,++,+,o,-,,-,-,o,o,o,-,+,o,o,o,o
USA,USA Midwest,USA_MW,600,--,--,-,o,+,++,+,+,++,+,-,--,,o,--,-,-,++,--,+,+,++,+,-
USA,USA South,USA_SO,600,o,o,+,++,++,+,o,o,++,++,+,o,,+,-,+,++,++,--,+,++,o,o,+
USA,USA Florida,USA_FL,600,++,++,++,+,o,-,--,--,-,o,++,++,,+,-,++,++,++,--,+,+,+,o,++
USA,USA Mid-Atlantic,USA_MA,600,--,--,-,o,+,++,++,++,++,+,-,--,o,o,-,-,-,++,o,+,o,++,++,o
USA,USA New England,USA_NE,600,--,--,-,o,+,++,++,++,++,++,-,--,,+,+,-,o,o,o,+,+,+,-,+
USA,USA Hawaii,USA_HA,600,+,+,++,++,++,++,++,++,++,++,++,+,o,+,o,++,++,o,--,o,+,-,-,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Mexico,,375,,,,,,,,,,,,,o,,,,,,,,,,,
Mexico,Mexico Baja California,MEX_BC,375,++,++,+,+,o,--,--,--,-,o,+,++,,+,-,++,++,o,--,-,o,--,--,+
Mexico,Northern Mexico,MEX_NO,375,++,++,+,+,o,--,--,--,-,o,+,++,,o,o,--,--,--,--,-,-,--,--,-
Mexico,Mexico Bajio and Central Mexico,MEX_BA,375,++,++,+,+,o,--,--,--,-,o,+,++,,+,o,--,--,o,--,+,o,+,+,o
Mexico,Mexico Pacific Coast,MEX_PC,375,++,++,++,+,+,-,--,--,--,o,+,++,,o,-,o,o,-,--,o,o,-,-,+
Mexico,Mexico Yucatan,MEX_YU,415,++,++,++,+,+,-,--,--,--,o,+,++,,o,-,+,+,-,--,++,+,o,-,++
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle America and Caribbean,Middle America,,,++,++,++,+,+,o,-,-,-,o,+,++,,,,,,,,,,,,
Middle America,Guatemala and Belize,GTM,250,++,++,++,+,o,-,--,--,--,o,+,++,-,o,-,o,-,-,--,++,o,-,-,o
Middle America,Honduras and El Salvador,HND,250,++,++,++,+,o,-,--,--,--,o,+,++,-,o,o,+,+,-,--,+,o,-,-,o
Middle America,Nicaragua,NIC,250,++,++,++,+,o,-,--,--,--,o,+,++,-,o,-,o,o,-,--,o,o,-,-,o
Middle America,Costa Rica,CRI,400,++,++,++,+,o,-,-,-,-,o,+,++,o,++,+,+,+,-,--,o,o,-,-,+
Middle America,Panama,PAN,400,++,++,++,+,o,-,-,-,-,o,+,++,o,+,+,+,o,-,--,o,o,+,-,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle America and Caribbean,Caribbean,,,++,++,++,++,+,o,-,-,-,-,+,++,o,,,,,,,,,,,
Caribbean,"Bahamas, Turks and Caicos Islands",BHS,725,++,++,++,+,o,-,--,--,-,o,++,++,o,-,--,++,++,+,--,o,-,--,-,+
Caribbean,Cuba,CUB,350,++,++,++,++,+,o,-,--,--,-,+,++,+,o,-,o,-,o,--,++,--,+,-,o
Caribbean,Greater Antilles without Cuba,HTI,575,++,++,++,++,+,o,-,--,--,-,+,++,o,o,o,++,+,o,--,+,-,-,-,++
Caribbean,Lesser Antilles,AIA,575,++,++,++,++,+,o,-,--,--,-,+,++,o,o,--,++,++,+,--,o,o,--,-,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Venezuela,VEN,390,++,++,++,++,+,o,-,-,-,o,+,++,-,++,-,+,o,-,--,o,o,o,o,--
South America,Guianas,GUY,525,o,+,++,+,-,-,-,o,++,++,++,o,-,+,-,o,-,--,--,-,+,--,--,--
South America,Colombia,COL,350,++,++,++,o,-,-,+,+,-,-,o,++,o,+,o,+,o,+,-,+,o,o,o,o
South America,Ecuador,ECU,350,-,-,-,o,o,+,++,++,++,o,-,-,o,+,+,o,o,-,--,o,o,o,o,+
South America,Peru,PER,350,-,-,-,o,+,++,++,++,+,o,-,-,-,++,+,-,-,-,--,++,+,-,o,+
South America,Bolivia,BOL,310,--,--,-,+,++,++,++,++,++,+,-,--,o,+,+,--,--,-,--,+,o,-,o,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,625,,,,,,,,,,,,,-,,,,,,,,,,,
Brazil,Brazil North,BRA_NO,625,-,-,-,-,o,++,++,++,++,+,o,-,,o,-,-,--,--,--,-,o,-,-,o
Brazil,Brazil Northeast,BRA_NE,625,+,o,-,--,--,--,-,+,++,++,++,++,,o,-,+,+,o,--,+,o,o,o,o
Brazil,Brazil Central West,BRA_CW,625,-,-,-,o,+,++,++,++,+,o,-,-,,+,o,--,-,-,--,o,o,-,-,-
